Bayside,$400,46.5,36.3
Cardinia,$258,32.9,36.3
Casey,$280,29.7,36.3
Frankston,$260,40.8,36.3
Glen Eira,$370,38.4,36.3
Greater Dandenong,$260,28.3,36.3
Kingston,$310,36.4,36.3
Mornington Penin'a,$265,47.5,36.3
Port Phillip,$420,54.4,36.3
Stonnington,$425,45.9,36.3
