Banyule,$320,43.1
Brimbank,$250,24.3
Darebin,$330,35.1
Hobsons Bay,$280,38.2
Hume,$290,29.1
Maribyrnong,$320,40.3
Melbourne,$500,45
Melton,$230,29.1
Moonee Valley,$340,34.4
Moreland,$330,30.3
Nillumbik,$310,49.6
Whittlesea,$275,20.7
Wyndham,$250,28.1
Yarra,$460,48.2
