Ararat,$200,33.3
Ballarat,$220,40
Golden Plains,$200,42
Hepburn,$270,35.1
Hindmarsh,$200,27.2
Horsham,$170,38.7
Moorabool,$205,35.7
Northern Grampians,$140,36.1
Pyrenees,$200,37.2
West Wimmera,$200,27.8
Yarriambiack,$200,23.9
